Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2021-01-01,2,Eixample,5,el Fort Pienc,20,2008,589,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2008,79,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2008,66,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2008,13,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2008,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,20,2009,552,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2009,79,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2009,59,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2009,16,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2009,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,21,2010,357,1
2021-01-01,2,Eixample,5,el Fort Pienc,21,2010,54,2
2021-01-01,2,Eixample,5,el Fort Pienc,21,2010,32,3
2021-01-01,2,Eixample,5,el Fort Pienc,21,2010,14,4
2021-01-01,2,Eixample,5,el Fort Pienc,21,2010,4,5
2021-01-01,2,Eixample,5,el Fort Pienc,21,2011,383,1
2021-01-01,2,Eixample,5,el Fort Pienc,21,2011,59,2
2021-01-01,2,Eixample,5,el Fort Pienc,21,2011,22,3
2021-01-01,2,Eixample,5,el Fort Pienc,21,2011,4,4
2021-01-01,2,Eixample,5,el Fort Pienc,21,2011,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,21,2012,468,1
2021-01-01,2,Eixample,5,el Fort Pienc,21,2012,74,2
2021-01-01,2,Eixample,5,el Fort Pienc,21,2012,52,3
2021-01-01,2,Eixample,5,el Fort Pienc,21,2012,6,4
2021-01-01,2,Eixample,5,el Fort Pienc,21,2012,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,21,2013,400,1
2021-01-01,2,Eixample,5,el Fort Pienc,21,2013,59,2
2021-01-01,2,Eixample,5,el Fort Pienc,21,2013,33,3
2021-01-01,2,Eixample,5,el Fort Pienc,21,2013,9,4
2021-01-01,2,Eixample,5,el Fort Pienc,21,2013,2,5
2021-01-01,2,Eixample,5,el Fort Pienc,22,2014,462,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2014,64,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2014,42,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2014,10,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2014,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,22,2015,530,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2015,75,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2015,34,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2015,11,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2016,621,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2016,93,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2016,58,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2016,5,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2016,3,5
2021-01-01,2,Eixample,5,el Fort Pienc,22,2017,624,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2017,76,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2017,68,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2017,9,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2017,2,5
2021-01-01,2,Eixample,5,el Fort Pienc,22,2018,581,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2018,76,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2018,64,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2018,16,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2018,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,22,2019,645,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2019,114,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2019,61,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2019,7,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2019,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,22,2020,534,1
2021-01-01,2,Eixample,5,el Fort Pienc,22,2020,71,2
2021-01-01,2,Eixample,5,el Fort Pienc,22,2020,37,3
2021-01-01,2,Eixample,5,el Fort Pienc,22,2020,5,4
2021-01-01,2,Eixample,5,el Fort Pienc,22,2020,2,5
2021-01-01,2,Eixample,6,la Sagrada Família,23,2021,551,1
2021-01-01,2,Eixample,6,la Sagrada Família,23,2021,63,2
